2234/6/89/c|trevdak||cCN,cCI,cCX,hCN,hCI,hCX
2238/6/89|trevdak||CN,CI,CX
2248/6/86/c|trevdak||
2252/6/85/c|trevdak||
2252/6/86|trevdak||
2256/6/85|trevdak||
2258/6/84/c|trevdak||
2262/6/84|trevdak||
2393/6/83/c|trevdak||
2397/6/83|trevdak||
3296/5/60/c|LongingForRest||
3298/5/59/c|LongingForRest||
3556/5/63|LongingForRest||
3850/4/54/c|LongingForRest||cNC,hNC
3852/4/53/c|LongingForRest||cNX,hNX
3996/4/52/c|LongingForRest||
4108/4/60|LongingForRest||NC
4109/4/59|LongingForRest||
4110/4/58|LongingForRest||
4115/4/57|LongingForRest||NX
4226/4/51/c|LongingForRest||
4259/4/56|LongingForRest||
4591/4/50/c|LongingForRest||
5045/4/49/c|LongingForRest||
5066/4/48/c|LongingForRest||
5104/4/55|LongingForRest||
5210/4/47/c|LongingForRest||
5464/4/54|LongingForRest||
5923/4/46/c|LongingForRest||
6377/4/45/c|LongingForRest||
6615/4/53|LongingForRest||
6624/4/52|LongingForRest||NI,IC,IN,IX
7064/4/43/c|LongingForRest||cNI,cIC,cIN,cIX,hNI,hIC,hIN,hIX
