471/10/115/c|Brian142857/LongingForRest||cCN,cCI,cCX,hCN,hCI,hCX
471/10/116|Brian142857/LongingForRest||CN,CI,CX
473/10/111/c|Brian142857/LongingForRest||
473/10/112|Brian142857/LongingForRest||
474/10/110/c|Brian142857/LongingForRest||
476/9/98|easone/LongingForRest||
481/9/94|easone/LongingForRest||
492/9/85|easone/LongingForRest||
505/9/70/c|easone/LongingForRest||
506/9/73|easone/LongingForRest||
512/9/69/c|easone/LongingForRest||
526/9/72|easone/LongingForRest||
527/8/76|easone/LongingForRest||
536/9/67/c|easone/LongingForRest||
541/8/75|easone/LongingForRest||
546/9/70|easone/LongingForRest||
547/9/69|easone/LongingForRest||
601/9/68|easone/LongingForRest||
608/9/66/c|easone/LongingForRest||
631/9/66|easone||
668/8/71|easone/LongingForRest||
688/8/66|easone||
697/9/65/c|Csaboka/LongingForRest||
700/9/64/c|Csaboka/LongingForRest||
701/9/65|Csaboka/LongingForRest||
717/9/63/c|Csaboka/LongingForRest||
718/9/64|Csaboka/LongingForRest||
727/9/63|Csaboka/LongingForRest||
729/9/62/c|Csaboka/LongingForRest||
743/8/63/c|Csaboka/LongingForRest||
749/9/62|Csaboka/LongingForRest||
751/9/61/c|Csaboka/LongingForRest||
752/8/62/c|Csaboka/LongingForRest||
753/8/64|Csaboka/LongingForRest||
756/8/61/c|Csaboka/LongingForRest||
762/8/63|Csaboka/LongingForRest||
766/8/62|Csaboka/LongingForRest||
770/8/60/c|Csaboka/LongingForRest||
775/8/61|Csaboka/LongingForRest||
784/8/59/c|Csaboka/LongingForRest||
871/8/57|easone/LongingForRest||
873/8/56/c|easone/LongingForRest||
1074/6/43/c|Csaboka/LongingForRest||
1078/6/44|Csaboka/LongingForRest||
1082/6/42/c|Csaboka/LongingForRest||
1086/6/43|Csaboka/LongingForRest||
1096/4/51/c|easone/LongingForRest||cNC,hNC
1117/4/51|easone/LongingForRest||NC
1122/6/41/c|Csaboka/LongingForRest||
1124/4/48/c|jpgrossman||
1126/6/42|Csaboka/LongingForRest||
1133/5/50|Brian142857/LongingForRest||
1139/5/49|Brian142857/LongingForRest||
1146/6/40/c|Csaboka/LongingForRest||
1157/6/41|Csaboka/LongingForRest||
1173/4/47|easone/LongingForRest||
1196/6/39/c|Csaboka/LongingForRest||
1204/6/40|Csaboka/LongingForRest||
1240/4/40/c|easone/LongingForRest||
1240/4/41|easone/LongingForRest||
1246/4/39/c|easone/LongingForRest||
1246/4/40|easone/LongingForRest||
1254/4/39|easone/LongingForRest||
1270/4/38|easone/LongingForRest||NX
1387/4/37/c|easone/LongingForRest||
1411/4/34/c|easone/LongingForRest||
1412/4/36|easone/LongingForRest||
1432/4/33/c|easone/LongingForRest||
1453/4/35|easone/LongingForRest||
1496/4/32/c|easone/LongingForRest||
1497/4/34|easone/LongingForRest||
1519/4/31/c|easone/LongingForRest||cNX,hNX
1544/4/33|easone/LongingForRest||
1818/5/32|Brian142857/LongingForRest||
1828/5/31|Brian142857/LongingForRest||
2000/5/30|Brian142857/LongingForRest||
2002/4/32|Brian142857/LongingForRest||
2190/4/31|Brian142857/LongingForRest||
2270/4/29/c|easone||
2313/4/29|easone||
2347/4/28/c|easone||
3149/4/21/c|easone||
3149/4/22|easone||
3194/4/20/c|easone||
3347/4/19/c|easone/LongingForRest||
3609/4/20|easone||
14294/4/18|easone||
14399/4/17|easone||
16059/4/16/c|easone||
24526/4/16|easone||
64345/4/14/c|LongingForRest||
64346/4/13/c|LongingForRest||
64349/4/12/c|LongingForRest||
73238/4/12|Hersmunch/LongingForRest||
88682/4/10|Hersmunch||NI,IC,IN,IX,cNI,cIC,cIN,cIX,hNI,hIC,hIN,hIX
