400/10/104|jpgrossman||CN,CI,CX,cCN,cCI,cCX,hCN,hCI,hCX
417/10/91/c|Brian142857/LongingForRest||
417/10/93|Brian142857/LongingForRest||
418/10/91|Brian142857/LongingForRest||
419/10/90/c|Brian142857/LongingForRest||
422/10/90|Brian142857/LongingForRest||
426/8/73|Brian142857/LongingForRest||
427/8/72|Brian142857/LongingForRest||
430/8/71|Brian142857/LongingForRest||
432/7/74|Brian142857/LongingForRest||
434/7/73|Brian142857/LongingForRest||
435/8/70|Brian142857/LongingForRest||
440/7/72|Brian142857/LongingForRest||
453/7/71|Brian142857/LongingForRest||
497/9/59/c|Brian142857/LongingForRest||
497/9/61|Brian142857/LongingForRest||
498/9/58/c|Brian142857/LongingForRest||
498/9/60|Brian142857/LongingForRest||
499/9/54/c|Brian142857/LongingForRest||
499/9/56|Brian142857/LongingForRest||
502/7/67/c|Brian142857/LongingForRest||
503/9/51/c|Brian142857/LongingForRest||
504/7/67|Brian142857/LongingForRest||
504/9/50/c|Brian142857/LongingForRest||
505/9/46/c|Brian142857/LongingForRest||
505/9/49|12345AIII||
506/7/66|Brian142857/LongingForRest||
511/9/48|Brian142857/LongingForRest||
513/9/47|Brian142857/LongingForRest||
515/7/65|Brian142857/LongingForRest||
533/9/46|Brian142857/LongingForRest||
550/7/63/c|Brian142857/LongingForRest||
551/7/64|Brian142857/LongingForRest||
552/7/63|Brian142857/LongingForRest||
554/7/62|Brian142857/LongingForRest||
567/7/60|12345AIII||
571/9/45/c|Brian142857/LongingForRest||
576/9/42/c|Brian142857/LongingForRest||
582/9/41/c|Brian142857/LongingForRest||
584/7/59|12345AIII||
585/9/44|Brian142857/LongingForRest||
592/9/40/c|Brian142857/LongingForRest||
592/9/43|Brian142857/LongingForRest||
593/9/39/c|Brian142857/LongingForRest||
600/9/42|Brian142857/LongingForRest||
614/9/41|Brian142857/LongingForRest||
629/9/40|Brian142857/LongingForRest||
631/7/56|12345AIII||
631/8/42/c|Brian142857/LongingForRest||
634/8/41/c|Brian142857/LongingForRest||
637/8/39/c|Brian142857/LongingForRest||
640/8/38/c|Brian142857/LongingForRest||
646/8/37/c|Brian142857/LongingForRest||
647/8/42|Brian142857/LongingForRest||
649/9/39|Brian142857/LongingForRest||
653/8/40|Brian142857/LongingForRest||
661/8/39|Brian142857/LongingForRest||
664/7/55|12345AIII||
680/8/38|Brian142857/LongingForRest||
685/8/37|Brian142857/LongingForRest||
696/5/55/c|Hersmunch/LongingForRest||cNC,hNC
697/5/54/c|12345AIII||
699/5/49/c|Hersmunch/LongingForRest||
700/5/58|Hersmunch/LongingForRest||NC
701/5/48/c|12345AIII||
703/5/41/c|Hersmunch/LongingForRest||
705/5/40/c|Hersmunch/LongingForRest||
705/5/50|Hersmunch/LongingForRest||
709/5/44|Hersmunch/LongingForRest||
711/5/43|Hersmunch/LongingForRest||
715/5/42|Hersmunch/LongingForRest||
716/5/39/c|Hersmunch/LongingForRest||
717/5/41|Hersmunch/LongingForRest||
718/5/38/c|Hersmunch/LongingForRest||
727/5/37/c|Hersmunch/LongingForRest||cNX,hNX
728/5/40|Hersmunch/LongingForRest||
732/5/39|Hersmunch/LongingForRest||
742/5/38|Hersmunch/LongingForRest||
760/5/37|Hersmunch/LongingForRest||NX
794/10/30/c|LongingForRest||
794/10/31|LongingForRest||
815/5/36/c|Hersmunch/LongingForRest||
816/5/36|Hersmunch/LongingForRest||
822/5/35|Hersmunch/LongingForRest|https://i.imgur.com/nrJ6Bzy.png|
842/5/34|Hersmunch/LongingForRest||
916/5/33|Hersmunch/LongingForRest||
973/5/31/c|Hersmunch/LongingForRest|https://i.imgur.com/jkRYCv5.png|
988/5/31|Hersmunch/LongingForRest|https://i.imgur.com/JZbTjGQ.png|
989/5/30/c|Hersmunch/LongingForRest||
1003/5/30|Hersmunch/LongingForRest||
1065/7/26/c|Brian142857/LongingForRest||
1065/7/27|Brian142857/LongingForRest||
1071/5/29|Brian142857/LongingForRest||
1097/5/28/c|Brian142857/LongingForRest||
1110/5/28|Brian142857/LongingForRest||
1193/5/27/c|Brian142857/LongingForRest||
1198/5/27|Brian142857||
1487/5/23|LongingForRest||
1565/5/22|12345AIII||
1565/7/21/c|LongingForRest||
1641/5/21|LongingForRest||
1717/6/20/c|LongingForRest||
1756/5/20/c|cf||
1827/5/20|easone||
1944/5/19|easone||
5240/6/18|LongingForRest||IC,IX
5318/6/17/c|LongingForRest||cIC,cIN,cIX,hIC,hIN,hIX
7706/5/18|Hersmunch||NI,IN,cNI,hNI
