31/7/59/h|Hersmunch||hCN,hCI,hCX
32/6/58/h|Hersmunch||
33/6/53/h|Hersmunch||
34/6/51/h|Hersmunch||
35/6/50/h|Hersmunch||
37/6/49/h|Hersmunch||
43/6/48/h|Hersmunch||
594/8/95/c|Hersmunch||cCN,cCX
594/9/92/c|Hersmunch||cCI
595/8/94/c|Hersmunch||
595/9/91/c|Hersmunch||
596/8/100|Hersmunch||CN,CI,CX
597/8/93/c|Hersmunch||
597/8/98|Hersmunch||
597/9/97|Hersmunch||
598/8/96|Hersmunch||
599/8/92/c|Hersmunch||
599/8/95|Hersmunch||
600/8/91/c|Hersmunch||
602/8/90/c|Hersmunch||
603/8/94|Hersmunch||
604/8/85/c|Hersmunch||
606/8/84/c|Hersmunch||
614/8/93|Hersmunch||
628/9/92|Hersmunch||
633/9/90|Hersmunch||
643/8/91|Hersmunch||
644/8/88|Hersmunch||
645/8/81/c|12345AIII||
646/8/87|Hersmunch||
651/8/80/c|Hersmunch||
653/8/81|Hersmunch||
655/8/79/c|Hersmunch||
661/8/75/c|Hersmunch||
661/8/77|Hersmunch||
663/8/73/c|Hersmunch||
664/8/76|Hersmunch||
665/8/72/c|Hersmunch||
668/8/75|Hersmunch||
670/8/72|Hersmunch||
719/8/71/c|Hersmunch||
721/8/71|Hersmunch||
1256/7/93/c|Hersmunch||
1256/7/94|Hersmunch||
1333/4/41|Hersmunch/easone||NC,NX,cNC,cNX,hNC,hNX
1450/4/39|Hersmunch/easone||
1529/4/38|Hersmunch/easone||
7085/4/28/c|biggiemac42/easone||cNI,cIC,cIN,cIX,hNI,hIC,hIN,hIX
8061/4/36|easone/biggiemac42||
9370/4/28|biggiemac42/easone||NI,IC,IN,IX
