304/8/60|Brian142857/LongingForRest||CN,CI,CX,cCN,cCI,cCX,hCN,hCI,hCX
306/8/56|Brian142857/LongingForRest||
307/8/54|Brian142857/LongingForRest||
308/8/53|Brian142857/LongingForRest||
323/8/51|Brian142857||
329/8/47|Brian142857/LongingForRest||
330/8/46|Csaboka||
331/8/45|Csaboka/LongingForRest||
398/6/50|Brian142857||NC,cNC,hNC
400/6/47|Brian142857/LongingForRest||
405/6/43|Brian142857/LongingForRest||
422/6/41|Brian142857/LongingForRest||NX,cNX,hNX
444/6/40|Brian142857/LongingForRest||
576/6/39|Brian142857/LongingForRest||
668/6/35|Brian142857/LongingForRest||
766/6/34|Brian142857/LongingForRest||
844/6/32|Brian142857/LongingForRest||
1129/6/27|12345AIII||
1971/6/23|12345AIII||
2048/6/22|12345AIII||
5429/7/19/c|Hersmunch||
5430/8/21|Hersmunch||
5624/6/21|Hersmunch||
9406/6/20|12345AIII||
10536/6/19|Hersmunch||
10575/6/18|Snowball||
10614/6/17|jpgrossman||NI,IC,IN,IX,cNI,cIC,cIN,cIX,hNI,hIC,hIN,hIX
