862/9/119|Brian142857/LongingForRest/Hersmunch||CN,CI,CX,cCN,cCI,cCX,hCN,hCI,hCX
863/9/118|12345AIII||
868/9/114|Brian142857/LongingForRest/Hersmunch||
875/9/112|Brian142857/LongingForRest/Hersmunch||
877/9/111|Brian142857/LongingForRest/Hersmunch||
891/9/109|12345AIII||
1017/9/84|chrjen/LongingForRest||
1019/9/83|12345AIII||
1104/9/68|12345AIII||
1106/8/68|12345AIII||
1106/9/66|12345AIII||
1108/8/66|chrjen/LongingForRest||
1113/9/65|12345AIII||
1117/9/64|chrjen/LongingForRest||
1118/9/63|12345AIII||
1119/8/64|12345AIII||
1120/8/63|12345AIII||
1120/9/62|12345AIII||
1122/8/62|chrjen/LongingForRest||
1146/9/61|chrjen/LongingForRest||
1148/8/61|chrjen/LongingForRest||
1203/7/65|chrjen/LongingForRest||
1204/7/64|chrjen/LongingForRest||
1206/7/63|chrjen/LongingForRest||
1289/5/60|LongingForRest/Hersmunch||NC,cNC,hNC
1311/5/59|12345AIII||
1468/5/46|LongingForRest||
1484/5/45|LongingForRest||
1492/5/44|jpgrossman||
1508/5/42|LongingForRest||
1753/6/38|Brian142857||
1823/5/32|Brian142857/LongingForRest/Hersmunch||
1824/5/31|Brian142857/LongingForRest/Hersmunch||NX,cNX,hNX
1901/5/30|Brian142857/LongingForRest/Hersmunch||
2012/5/29|Brian142857/LongingForRest/Hersmunch||
2895/8/24|Hersmunch||
3012/8/23|12345AIII||
3862/6/26|12345AIII||
3871/5/20|12345AIII||
3886/5/19|LongingForRest/Hersmunch||NI,cNI,hNI
4411/7/18|LongingForRest||
4524/6/17|Hersmunch||IC,IN,IX,cIC,cIN,cIX,hIC,hIN,hIX
