83/11/54/h|Hersmunch||hCN,hCI,hCX
94/6/29|Brian142857||CN,CI,CX,cCN,cCI,cCX
95/8/28|Brian142857||
108/5/27|ImprobableFish||
109/4/26/c|LongingForRest||cNC,hNC
112/4/32|Brian142857||NC
113/4/23/c|LongingForRest||cNX,hNX
113/4/24|jpgrossman||NX
121/4/23|Brian142857||
125/4/22|Brian142857||
127/4/21/c|LongingForRest||
147/4/19|ilyakharlamov||
160/4/18|_Fluff_||NI,IC,IN,IX,cNI,cIC,cIN,cIX,hNI,hIC,hIN,hIX
