198/8/43|Hersmunch||CN,CI,CX,cCN,cCI,cCX,hCN,hCI,hCX
199/8/39|Hersmunch||
200/8/38|Hersmunch||
203/8/28|Hersmunch||
212/8/27|Hersmunch||
218/8/26|Hersmunch||
240/7/31|LongingForRest||
269/6/23|LongingForRest||
278/4/30/c|LongingForRest||cNC,hNC
278/5/23|LongingForRest||
279/4/29/c|LongingForRest||
280/4/27|LongingForRest||NC
281/4/26|LongingForRest||
282/4/25|LongingForRest/Hersmunch||
282/6/22|LongingForRest||
294/4/24/c|LongingForRest||
295/4/24|LongingForRest||
298/6/21/c|LongingForRest||
299/6/21|LongingForRest||
300/4/23|LongingForRest||
319/5/20|LongingForRest||
335/4/20|LongingForRest||NX,cNX,hNX
345/6/19|LongingForRest||
384/5/19|LongingForRest||
409/4/19|LongingForRest||
610/4/18|Hersmunch/LongingForRest||
766/4/17|Hersmunch||NI,IC,IN,IX,cNI,cIC,cIN,cIX,hNI,hIC,hIN,hIX
