336/11/65|Hersmunch||CN,CI,CX,cCN,cCI,cCX,hCN,hCI,hCX
345/11/63|12345AIII||
352/10/62|12345AIII||
355/10/60|Grimmy/Hersmunch||
357/10/58|Grimmy/Hersmunch||
365/9/59|Grimmy/Hersmunch||
367/10/56|12345AIII||
375/9/58/c|12345AIII||
377/9/57|Grimmy/Hersmunch||
380/8/57/c|12345AIII||
382/8/56|Grimmy/Hersmunch||
386/8/55|Grimmy/Hersmunch||
392/8/53|12345AIII||
441/8/52|Grimmy/Hersmunch||
462/7/51|Grimmy/Hersmunch||
489/7/50|Grimmy/Hersmunch||
574/6/56|Hersmunch||NC,cNC,hNC
590/6/55|Hersmunch||
591/6/49|Hersmunch||NX,cNX,hNX
730/6/47|Hersmunch||
1221/8/34/c|LongingForRest||
1380/9/41|12345AIII||
1450/7/32/c|LongingForRest/Hersmunch||
1455/8/37|12345AIII||
1457/8/35|12345AIII||
1490/7/33|LongingForRest/Hersmunch||
1605/6/32/c|Hersmunch||cNI,hNI
1605/6/34|Hersmunch/12345AIII||NI
1949/7/31/c|Hersmunch||cIC,cIN,cIX,hIC,hIN,hIX
1954/7/32|Hersmunch||IC,IN,IX
